volume;time
1.0;0.0
0.9999997392386635;7.7e-05
0.9999993543790132;0.000154
0.999998845480002;0.000231
0.9999982126005824;0.000308
0.999997455799707;0.00038500000000000003
0.9999965751363283;0.000462
0.9999955706693993;0.000539
0.9999944424578716;0.000616
0.9999931905606988;0.000693
0.9999918150368333;0.0007700000000000001
0.9999903159452275;0.000847
0.9999886933448338;0.000924
0.9999869472946054;0.001001
0.9999850778534946;0.001078
0.9999830850804537;0.001155
0.9999809690344353;0.001232
0.9999787297743926;0.001309
0.9999763673592779;0.001386
0.9999738818480437;0.001463
0.9999712732996423;0.0015400000000000001
0.9999685417730267;0.001617
0.9999656873271495;0.001694
0.9999627100209634;0.001771
0.9999596099134204;0.001848
0.9999563870634738;0.001925
0.9999530415300756;0.002002
0.9999495733721786;0.002079
0.9999459826487357;0.002156
0.9999422694186991;0.002233
0.999938433741022;0.00231
0.999934475674656;0.0023870000000000002
0.9999303952785541;0.002464
0.99992619261167;0.002541
0.9999218677329547;0.002618
0.9999174207013611;0.002695
0.9999128515758426;0.002772
0.9999081604153512;0.002849
0.99990334727884;0.002926
0.9998984122252604;0.003003
0.9998933553135664;0.0030800000000000003
0.9998881766027099;0.003157
0.9998828761516434;0.003234
0.9998774540193198;0.003311
0.9998719102646918;0.003388
0.9998662449467114;0.003465
0.9998604581243317;0.003542
0.9998545498565052;0.0036190000000000003
0.9998485202021847;0.003696
0.9998423692203221;0.003773
0.9998360969698707;0.00385
0.9998297035097827;0.003927
0.9998231888990111;0.004004
0.9998165531965079;0.004081
0.9998097964612267;0.004158
0.9998029187521187;0.004235
0.9997959201281373;0.004312
0.9997888006482352;0.004389
0.9997815603713647;0.004466
0.9997741993564787;0.004543
0.9997667176625293;0.00462
0.9997591153484696;0.004697
0.999751392473252;0.0047740000000000005
0.999743549095829;0.004851
0.9997355852751533;0.004928
0.9997275010701775;0.005005
0.9997192965398539;0.005082
0.9997109717431366;0.005159
0.9997025267397963;0.005236
0.999693961591962;0.005313
0.9996852763621853;0.00539
0.9996764711130167;0.0054670000000000005
0.9996675459070089;0.005544
0.9996585008067124;0.005621
0.9996493358746777;0.005698
0.9996400511734576;0.005775
0.9996306467656023;0.005852
0.9996211227136638;0.005929
0.9996114790801928;0.006006
0.9996017159277409;0.006083
0.9995918333188596;0.0061600000000000005
0.9995818313160996;0.006237
0.9995717099820127;0.006314
0.9995614693791499;0.006391
0.9995511095700629;0.006468
0.9995406306173025;0.0065450000000000005
0.9995300325834204;0.006622
0.9995193155309674;0.006699
0.9995084795224952;0.006776
0.9994975246205551;0.006853
0.9994864508876985;0.00693
0.9994752583864761;0.007007
0.9994639471794395;0.007084
0.9994525173291404;0.007161
0.9994409688981296;0.0072380000000000005
0.9994293019489587;0.007315
0.9994175165441788;0.007392
0.999405612746341;0.007469
0.9993935906179968;0.007546
0.9993814502216978;0.0076230000000000004
0.9993691916199948;0.0077
0.9993568148754849;0.007777
0.9993443200512929;0.007854
0.9993317072108866;0.007931
0.9993189764177388;0.008008
0.9993061277353232;0.008085
0.9992931612271126;0.008162
0.9992800769565806;0.008239
0.9992668749871999;0.008316
0.9992535553824438;0.008393
0.9992401182057858;0.00847
0.9992265635206992;0.008547
0.9992128913906564;0.008624
0.9991991018791313;0.008701
0.9991851950495969;0.008778
0.9991711709655263;0.008855
0.9991570296903928;0.008932
0.9991427712876697;0.009009
0.9991283958208297;0.009086
0.9991139033533469;0.009163000000000001
0.9990992939486933;0.00924
0.9990845676703434;0.009317
0.9990697245817691;0.009394
0.9990547647464447;0.009471
0.9990396882278426;0.009548000000000001
0.9990244950894368;0.009625
0.9990091853946996;0.009702
0.9989937592071044;0.009779
0.998978216590125;0.009856
0.9989625576072342;0.009933
0.9989467823219047;0.01001
0.9989308907976104;0.010087
0.9989148830978247;0.010164
0.9988987592860198;0.010241
0.9988825194256704;0.010318
0.9988661635803766;0.010395
0.9988496918140037;0.010472
0.9988331041904521;0.010549
0.9988164007736207;0.010626
0.9987995816274092;0.010703
0.9987826468157172;0.01078
0.9987655964024439;0.010857
0.9987484304514893;0.010934000000000001
0.9987311490267525;0.011011
0.9987137521921332;0.011088
0.9986962400115309;0.011165
0.9986786125488448;0.011242
0.9986608698679749;0.011319000000000001
0.9986430120328204;0.011396
0.998625039107281;0.011473
0.9986069511552562;0.01155
0.9985887482406451;0.011627
0.998570430427348;0.011704
0.9985519977792636;0.011781
0.9985334503602922;0.011858
0.9985147882343324;0.011935
0.9984960114652844;0.012012
0.9984771201170476;0.012089
0.998458114253521;0.012166
0.9984389939386051;0.012243
0.9984197592361987;0.012320000000000001
0.9984004102102013;0.012397
0.9983809469245124;0.012474
0.998361369443032;0.012551
0.9983416778296592;0.012628
0.9983218721482937;0.012705000000000001
0.9983019524628346;0.012782
0.9982819188371822;0.012859
0.9982617713351738;0.012936
0.9982415100201568;0.013013
0.9982211349552432;0.013090000000000001
0.9982006462035431;0.013167
0.9981800438281672;0.013244
0.9981593278922253;0.013321
0.9981384984588283;0.013398
0.9981175555910857;0.013475
0.9980964993521088;0.013552
0.9980753298050072;0.013629
0.998054047012892;0.013706
0.9980326510388728;0.013783
0.9980111419460607;0.01386
0.9979895197975651;0.013937
0.997967784656497;0.014014
0.9979459365859664;0.014091000000000001
0.9979239756490841;0.014168
0.9979019019089601;0.014245
0.9978797154287046;0.014322
0.9978574162714284;0.014399
0.9978350045002413;0.014476000000000001
0.9978124801782537;0.014553
0.9977898433685768;0.01463
0.9977670941343199;0.014707
0.9977442325385937;0.014784
0.9977212586445083;0.014861000000000001
