normedVolume;nTable;Vmax_it;Vmin_it
0.9418;0;1.2;0.9418
0.8835999999999999;1;0.9418;0.8835999999999999
0.8253999999999999;2;0.8835999999999999;0.8253999999999999
0.7672;3;0.8253999999999999;0.7672
0.709;4;0.7672;0.709
0.6507999999999999;5;0.709;0.6507999999999999
0.5926;6;0.6507999999999999;0.5926
0.5344;7;0.5926;0.5344
0.47619999999999996;8;0.5344;0.47619999999999996
0.31799999999999995;9;0.47619999999999996;0.31799999999999995
