volumeFlux;time
0.0;0.0
-0.001572647904263258;6.4e-05
-0.004144281346915579;0.000128
-0.006716250729177364;0.000192
-0.009288556051048613;0.000256
-0.011861197303855708;0.00031999999999999997
-0.014434174491068097;0.000384
-0.017007487614420502;0.000448
-0.019581136679117095;0.000512
-0.022155121685157875;0.000576
-0.024729442618665054;0.0006399999999999999
-0.027304099481373356;0.000704
-0.029879092301038357;0.000768
-0.03245442103949614;0.000832
-0.035030085731441174;0.000896
-0.03760608634564844;0.0009599999999999999
-0.04018242289252627;0.001024
-0.04275909538942191;0.001088
-0.04533610381204922;0.001152
-0.047913448174286;0.0012159999999999999
-0.050491128483071135;0.0012799999999999999
-0.0530691447141185;0.001344
-0.05564749688477533;0.001408
-0.05822618500198051;0.001472
-0.060805209044917374;0.001536
-0.06338456902225953;0.0015999999999999999
-0.0659642649426806;0.001664
-0.06854429679577223;0.001728
-0.07112466459020805;0.001792
-0.07370536831211028;0.001856
-0.0762864079840303;0.0019199999999999998
-0.07886778357647783;0.001984
-0.08144949512241262;0.002048
-0.08403154259060963;0.0021119999999999997
-0.08661392600015083;0.002176
-0.08919664534583205;0.00224
-0.091779700629388;0.002304
-0.0943630918508187;0.002368
-0.09694681900145052;0.0024319999999999997
-0.09953088209516125;0.002496
-0.10211528112154256;0.0025599999999999998
-0.10470001608926804;0.002624
-0.10728508698792938;0.002688
-0.1098704938279349;0.0027519999999999997
-0.11245623659887627;0.002816
-0.11504231530769238;0.0028799999999999997
-0.11762872995438323;0.002944
-0.12021548054415299;0.003008
-0.12280256705618497;0.003072
-0.12538998951476532;0.003136
-0.1279777479042815;0.0031999999999999997
-0.13056584223167245;0.003264
-0.1331542725021423;0.003328
-0.13574303870007853;0.003392
-0.13833214076303113;0.003456
-0.14092150137957893;0.0035199999999999997
-0.14351089767938863;0.003584
-0.14610028977769807;0.0036479999999999998
-0.14868967763981278;0.003712
-0.1512790612761411;0.003776
-0.15386844069709138;0.0038399999999999997
-0.15645781589572472;0.003904
-0.1590471868703064;0.003968
-0.16163655361910167;0.004032
-0.16422591615425364;0.004096
-0.16681527445668032;0.00416
-0.16940462854546368;0.0042239999999999995
-0.17199397840672592;0.004288
-0.17458332404740595;0.004352
-0.1771726654622996;0.004416
-0.17976200266008047;0.00448
-0.1823513356355444;0.004543999999999999
-0.18494066438348722;0.004608
-0.1875299889091131;0.004672
-0.19011930921415676;0.004736
-0.19270862530035293;0.0048
-0.195297937159028;0.004863999999999999
-0.19788724480059028;0.004928
-0.200476548211162;0.004992
-0.20306584741155986;0.005056
-0.205655142375763;0.0051199999999999996
-0.20824443312979224;0.005183999999999999
-0.21083371965283093;0.005248
-0.21342300196049158;0.005312
-0.21601228003716166;0.005376
-0.21860155389498426;0.0054399999999999995
-0.22119082353222463;0.005503999999999999
-0.22378008895061752;0.005568
-0.2263693380747528;0.005632
-0.22895843007977867;0.005696
-0.23154727383199736;0.0057599999999999995
-0.2341358678065869;0.005823999999999999
-0.2367242120018126;0.005888
-0.23931230640553136;0.005952
-0.24190015102641682;0.006016
-0.24448774587661204;0.0060799999999999995
-0.24707509093530033;0.006144
-0.24966218622156366;0.006208
-0.2522490317128506;0.006272
-0.2548356274213043;0.006336
-0.2574219733660066;0.0063999999999999994
-0.2600080695122631;0.006464
-0.2625939158808904;0.006528
-0.2651795124701539;0.006592
-0.2677648592748494;0.006656
-0.2703499562949768;0.006719999999999999
-0.2729348035340057;0.006784
-0.27551940099367067;0.006848
-0.27810374866876764;0.006912
-0.28068784656450074;0.0069759999999999996
-0.28327169468087;0.007039999999999999
-0.28585529300052814;0.007104
-0.2884386415547002;0.007168
-0.2910217403191001;0.007232
-0.2936045893024014;0.0072959999999999995
-0.2961871885028694;0.007359999999999999
-0.2987695379222388;0.007424
-0.30135163756050964;0.007488
-0.3039334874090083;0.007552
-0.3065150874902861;0.0076159999999999995
-0.3090964377783223;0.007679999999999999
-0.3116775378116804;0.007744
-0.31425830979148195;0.007808
-0.3168385898782988;0.007871999999999999
-0.3194183573421855;0.007936
-0.3219976121796725;0.008
-0.32457635439943344;0.008064
-0.32715458399452946;0.008128
-0.32973230096496053;0.008192
-0.3323095053141961;0.008256
-0.33488619704397093;0.00832
-0.3374623761490808;0.008383999999999999
-0.3400380426260563;0.008447999999999999
-0.3426131964905099;0.008512
-0.34518783772682915;0.008576
-0.3477619663367487;0.00864
-0.3503355823341464;0.008704
-0.3529086856964708;0.008768
-0.35548127644453864;0.008832
-0.35805335457141096;0.008896
-0.3606249200701489;0.00896
-0.3631959729528955;0.009023999999999999
-0.3657665132023036;0.009087999999999999
-0.36833654083918976;0.009152
-0.3709060558496763;0.009216
-0.3734750582372326;0.00928
-0.3760435479966545;0.009344
-0.3786115251522282;0.009408
-0.38117898966578967;0.009472
-0.3837459415616251;0.009536
-0.38631238084320396;0.0096
-0.3888783074862401;0.009663999999999999
-0.3914437215236932;0.009727999999999999
-0.3940086229278078;0.009792
-0.39657301171593107;0.009856
-0.3991368685112018;0.00992
-0.40170003860924564;0.009984
-0.4042624478488993;0.010048
-0.40682409576872636;0.010112
-0.40938498235137954;0.010176
-0.41194510761594083;0.010239999999999999
-0.4145044715467977;0.010303999999999999
-0.4170630741612974;0.010367999999999999
-0.4196209154420927;0.010432
-0.42217799540306133;0.010496
-0.42473431403552975;0.01056
-0.42728987134123264;0.010624
-0.42984466732363946;0.010688
-0.43239870197060715;0.010752
-0.4349519753029524;0.010816
-0.4375044873085321;0.010879999999999999
-0.44005623798561155;0.010943999999999999
